Word,Entity
Can,o
you,o
show,o
me,o
some,o
movie,o
listings,o
?,o
,
I,o
am,o
in,o
San,B-location
Jose,I-location
.,o
Also,o
I,o
want,o
to,o
see,o
a,o
3D,o
movie,o
.,o
,
Yes,o
",",o
please,o
find,o
me,o
some,o
other,o
movies,o
.,o
I,o
want,o
to,o
see,o
something,o
at,o
CineLux,B-theater_name
Almaden,I-theater_name
.,o
,
What,o
times,o
do,o
you,o
have,o
available,o
for,o
Curse,B-movie_name
of,I-movie_name
La,I-movie_name
Llorona,I-movie_name
?,o
I,o
've,o
been,o
wanting,o
to,o
see,o
that,o
!,o
,
March,B-show_date
5th,I-show_date
.,o
,
That,o
will,o
work,o
!,o
That,o
is,o
all,o
I,o
need,o
.,o
,
Can,o
you,o
help,o
me,o
find,o
a,o
movie,o
to,o
watch,o
?,o
,
I,o
like,o
Horror,B-genre
movies,o
and,o
would,o
also,o
like,o
to,o
see,o
a,o
movie,o
in,o
Concord,B-location
.,o
Can,o
you,o
search,o
for,o
one,o
there,o
?,o
,
That,o
sounds,o
great,o
",",o
The,B-movie_name
Curse,I-movie_name
of,I-movie_name
La,I-movie_name
Llorona,I-movie_name
it,o
is,o
!,o
,
No,o
",",o
I,o
am,o
not,o
ready,o
to,o
buy,o
tickets,o
but,o
I,o
would,o
like,o
to,o
know,o
the,o
available,o
times,o
for,o
the,o
movie,o
.,o
,
I,o
am,o
thinking,o
of,o
going,o
on,o
March,B-show_date
2nd,I-show_date
and,o
I,o
would,o
like,o
to,o
see,o
it,o
at,o
Veranda,B-theater_name
LUXE,I-theater_name
Cinema,I-theater_name
.,o
,
Can,o
you,o
please,o
give,o
me,o
the,o
address,o
for,o
the,o
theater,o
?,o
,
Can,o
you,o
also,o
please,o
tell,o
me,o
the,o
price,o
of,o
the,o
ticket,o
?,o
,
Ok,o
",",o
that,o
will,o
work,o
.,o
That,o
's,o
all,o
I,o
need,o
.,o
,
Find,o
me,o
a,o
movie,o
,
Make,o
it,o
movies,o
in,o
Santa,B-location
Clara,I-location
,
Yeah,o
.,o
I,o
want,o
to,o
see,o
Dumbo,B-movie_name
,
Not,o
right,o
now,o
thanks,o
.,o
,
What,o
time,o
does,o
it,o
show,o
?,o
,
I,o
'll,o
see,o
it,o
this,B-show_date
Saturday,I-show_date
,
And,o
how,o
much,o
does,o
it,o
cost,o
?,o
,
Great,o
,
No,o
.,o
Thanks,o
so,o
much,o
,
A,o
friend,o
and,o
I,o
want,o
to,o
see,o
an,o
imax,B-show_type
show,o
at,o
CineLux,B-theater_name
Tennant,I-theater_name
Station,I-theater_name
.,o
What,o
movies,o
are,o
out,o
?,o
,
What,o
fantasy,B-genre
movies,o
are,o
being,o
shown,o
in,o
Morgan,B-location
Hill,I-location
?,o
,
Hellboy,B-movie_name
would,o
be,o
the,o
perfect,o
movie,o
!,o
,
No,o
",",o
not,o
right,o
now,o
.,o
What,o
times,o
is,o
it,o
playing,o
on,o
March,B-show_date
2nd,I-show_date
?,o
,
That,o
's,o
perfect,o
.,o
I,o
do,o
n't,o
need,o
any,o
more,o
help,o
.,o
,
I'mm,o
interested,o
in,o
seeing,o
an,o
imax,B-show_type
movie,o
in,o
Petaluma,B-location
.,o
,
I,o
would,o
like,o
to,o
see,o
Little,B-movie_name
.,o
What,o
time,o
is,o
it,o
playing,o
?,o
,
I,o
plan,o
on,o
seeing,o
it,o
on,o
the,o
2nd,B-show_date
of,I-show_date
March,I-show_date
.,o
,
That,o
is,o
great,o
.,o
I,o
do,o
n't,o
need,o
anything,o
further,o
.,o
,
Hey,o
",",o
I,o
would,o
like,o
to,o
watch,o
a,o
movie,o
.,o
,
I,o
am,o
currently,o
at,o
Sebastopol,B-location
",",o
could,o
you,o
find,o
for,o
movies,o
currently,o
showing,o
in,o
this,o
area,o
?,o
,
Not,o
really,o
",",o
could,o
help,o
search,o
for,o
other,o
movies,o
?,o
,
Wild,B-movie_name
Nights,I-movie_name
with,I-movie_name
Emily,I-movie_name
is,o
perfect,o
!,o
,
No,o
",",o
I,o
am,o
just,o
inquiring,o
.,o
I,o
would,o
not,o
like,o
to,o
purchase,o
the,o
tickets,o
now,o
.,o
,
What,o
are,o
the,o
show,o
times,o
available,o
for,o
this,o
movie,o
?,o
Would,o
it,o
be,o
possible,o
on,o
the,o
March,B-show_date
5th,I-show_date
for,o
a,o
3d,B-show_type
version,o
of,o
this,o
movie,o
?,o
,
