Sentence,Intent
Can you show me some movie listings?,INFORM_INTENT
I am in San Jose. Also I want to see a 3D movie.,INFORM
"Yes, please find me some other movies. I want to see something at CineLux Almaden.",INFORM
What times do you have available for Curse of La Llorona? I've been wanting to see that!,INFORM_INTENT
March 5th.,INFORM
That will work! That is all I need.,SELECT
Can you help me find a movie to watch?,INFORM_INTENT
I like Horror movies and would also like to see a movie in Concord. Can you search for one there?,INFORM
"That sounds great, The Curse of La Llorona it is!",SELECT
"No, I am not ready to buy tickets but I would like to know the available times for the movie.",INFORM_INTENT
I am thinking of going on March 2nd and I would like to see it at Veranda LUXE Cinema.,INFORM
Can you please give me the address for the theater?,REQUEST
Can you also please tell me the price of the ticket?,REQUEST
"Ok, that will work. That's all I need.",SELECT
Find me a movie,INFORM_INTENT
Make it movies in Santa Clara,INFORM
Yeah. I want to see Dumbo,SELECT
Not right now thanks.,NEGATE_INTENT
What time does it show?,INFORM_INTENT
I'll see it this Saturday,INFORM
And how much does it cost?,REQUEST
Great,SELECT
No. Thanks so much,NEGATE
A friend and I want to see an imax show at CineLux Tennant Station. What movies are out?,INFORM
What fantasy movies are being shown in Morgan Hill?,INFORM
Hellboy would be the perfect movie!,SELECT
"No, not right now. What times is it playing on March 2nd?",INFORM
That's perfect. I don't need any more help.,SELECT
I'mm interested in seeing an imax movie in Petaluma.,INFORM
I would like to see Little. What time is it playing?,INFORM_INTENT
I plan on seeing it on the 2nd of March.,INFORM
That is great. I don't need anything further.,SELECT
"Hey, I would like to watch a movie.",INFORM_INTENT
"I am currently at Sebastopol, could you find for movies currently showing in this area?",INFORM
"Not really, could help search for other movies?",REQUEST_ALTS
Wild Nights with Emily is perfect!,SELECT
"No, I am just inquiring. I would not like to purchase the tickets now.",NEGATE_INTENT
What are the show times available for this movie? Would it be possible on the March 5th for a 3d version of this movie?,INFORM
That sounds great!,SELECT
"No, that will be all. Thank you very much!",NEGATE
I want to go to the cinema.,INFORM_INTENT
I'm in Livermore.,INFORM
Captain Marvel is perfect.,SELECT
"No, not right now. I want to watch it on Tuesday next week, at Livermore Cinema.",INFORM
How much is the ticket? And what's the address of the theater?,REQUEST
Sounds good. That's everything for now.,SELECT
I really want to find a movie to watch. I was thinking we could go to an imax show.,INFORM
What movies are showing in Fremont?,INFORM
Are there any other movies playing?,REQUEST_ALTS
Shazam! sounds great. What time is it showing on the 8th of March?,INFORM
What genre is it and how much are tickets?,REQUEST
"Great, thank you!",SELECT
I want to find a movie to wathc,INFORM_INTENT
can you search for movies shown in San Jose.i like Adventure movies.,INFORM
please find some other movies.,REQUEST_ALTS
I like Documentary movies. could you try again?,INFORM
